Comment,Description,Designator,Footprint,LibRef,Quantity

"885012206028","Wurth Elektronik 0603 WCAP-CSGP 100pF Ceramic Multilayer Capacitor, 16 V dc, +125°C, X7R Dielectric, ±10%","C?","","885012206028","1"
"CL05A104KA5NNNC","Cap Ceramic 0.1uF 25V X5R 10% SMD 0402 85C Paper T/R","C?","","CL05A104KA5NNNC","4"
"CL10A105KA8NNNC","Cap Ceramic 1uF 25V X5R 10% SMD 0603 85C Paper T/R","C?","","CL10A105KA8NNNC","6"
"CL10C0R5BB8NNNC","Cap Ceramic 0.5pF 50V C0G 0.1pF SMD 0603 125C Paper T/R","C?","","CL10C0R5BB8NNNC","1"
"CL10C0R8BB8NNNC","Cap Ceramic 0.8pF 50V C0G 0.1pF SMD 0603 125C Paper T/R","C?","","CL10C0R8BB8NNNC","1"
"CL10C120JB8NNNC","Cap Ceramic 12pF 50V C0G 5% SMD 0603 125C Paper T/R","C?","","CL10C120JB8NNNC","4"
"CL21A475KAQNNNE","Cap Ceramic 4.7uF 25V X5R 10% SMD 0805 85C Embossed T/R","C?","","CL21A475KAQNNNE","3"
"47589-0001","MOLEX         47589-0001            MICRO USB, 2.0 TYPE AB, RECEPTACLE, SMT","J?","","47589-0001","1"
"20021311-00010T4LF","10 Position Receptacle Connector 0.050" (1.27mm) Through Hole Gold","J?","","20021311-00010T4LF","1"
"20021311-00036T4LF","36 Position Receptacle Connector 0.050" (1.27mm) Through Hole Gold","J?","","20021311-00036T4LF","2"
"0894010210","Conn Shrouded Header HDR 2 POS 2mm Solder RA Thru-Hole Bag","J?","","0894010210","1"
"PJ-202B","PJ-202 Series 2.5 x 6.5 mm 16 V Horizontal Power Jack w/ Kinked Pins","J?","","PJ-202B","1"
"CIH05T3N3SNC","Inductor High Frequency Chip Multi-Layer 3.3nH 0.3nH 100MHz 8Q-Factor Ceramic 300mA 190mOhm DCR 0402 T/R","L?","","CIH05T3N3SNC","1"
"RR0816P-103-D","RES SMD 10K OHM 0.5% 1/16W 0603","R?","","RR0816P-103-D","1"
"EG5350TR-ND","SWITCH TACTILE SPST-NO 50MA 12V","SW?","","TL3305AF160QG","1"
"OS102011MS2QN1","C & K COMPONENTS         OS102011MS2QN1             Slide Switch, SPDT, On-On, Through Hole, OS Series, 100 mA","SW?","","OS102011MS2QN1","1"
"AZ1117EH-3.3TRG1","LDO Voltage Regulators LDO BJT HiCurr","U?","","AZ1117EH-3.3TRG1","1"
"AZ1117EH-5.0TRG1","LDO Voltage Regulators LDO BJT HiCurr 1A 1.15V to 12V","U?","","AZ1117EH-5.0TRG1","1"
"NRF52840-QIAA-R","","U?","","NRF52840-QIAA-R","1"
"NX2016SA-32MHZ-EXS00A-CS11336","","X?","","NX2016SA-32MHZ-EXS00A-CS11336","1"
"Q0,032768-JTX210-9-20-T1-80K-LF","","X?","","Q0,032768-JTX210-9-20-T1-80K-LF","1"
